temperature,humidity,rainfall,label
20.87974371,82.00274423,202.9355362,rice
21.77046169,80.31964408,226.6555374,rice
23.00445915,82.3207629,263.9642476,rice
26.49109635,80.15836264,242.8640342,rice
20.13017482,81.60487287,262.7173405,rice
23.05804872,83.37011772,251.0549998,rice
22.70883798,82.63941394,271.3248604,rice
20.27774362,82.89408619,241.9741949,rice
24.51588066,83.5352163,230.4462359,rice
23.22397386,83.03322691,221.2091958,rice
26.52723513,81.41753846,264.6148697,rice
23.97898217,81.45061596,250.0832336,rice
26.80079604,80.88684822,284.4364567,rice
24.01497622,82.05687182,185.2773389,rice
25.66585205,80.66385045,209.5869708,rice
24.28209415,80.30025587,231.0863347,rice
21.58711777,82.7883708,276.6552459,rice
23.79391957,80.41817957,206.2611855,rice
21.8652524,80.1923008,224.5550169,rice
23.57943626,83.58760316,291.2986618,rice
21.32504158,80.47476396,185.4974732,rice
25.15745531,83.11713476,231.3843163,rice
21.94766735,80.97384195,213.3560921,rice
21.0525355,82.67839517,233.1075816,rice
23.48381344,81.33265073,224.0581164,rice
25.0756354,80.52389148,257.0038865,rice
26.35927159,84.04403589,271.3586137,rice
24.52922681,80.54498576,260.2634026,rice
20.77576147,84.49774397,240.0810647,rice
22.30157427,80.64416466,197.9791215,rice
21.44653958,84.94375962,272.2017204,rice
22.17931888,80.33127223,200.0882787,rice
24.52783742,82.73685569,224.6757231,rice
20.26707606,81.63895217,270.4417274,rice
25.7354293,83.88266234,233.1321372,rice
26.79533926,82.1480873,193.3473987,rice
26.75754171,81.17734011,272.2999056,rice
23.86330467,83.15250801,285.2493645,rice
21.01944696,82.95221726,298.4018471,rice
24.17298839,83.7287574,257.0343554,rice
22.78133816,82.06719137,248.7183228,rice
25.62980105,83.52842314,209.9001977,rice
25.59704938,80.14509262,200.834898,rice
23.83067496,84.81360127,298.5601175,rice
26.31355498,82.36698992,265.5355937,rice
24.8972823,80.52586088,183.6793207,rice
24.958779,84.47963372,196.9560008,rice
23.24113501,84.59201843,233.0453455,rice
21.66628296,80.70960551,210.8142087,rice
24.63544858,80.41363018,253.7202781,rice
23.43121862,83.06310136,219.9048349,rice
20.0454142,80.3477562,208.5810155,rice
23.85724032,82.22572988,195.0948311,rice
21.97199397,81.89918197,227.3637009,rice
26.22916897,83.83625819,286.5083725,rice
23.44676801,84.79352417,283.9338466,rice
25.65553461,83.47021081,217.3788583,rice
24.44345477,82.45432595,267.9761948,rice
20.2801937,82.1235421,191.9535738,rice
21.7238313,80.2389895,277.9626192,rice
20.41447029,82.20802629,245.1511304,rice
25.75528612,83.51827127,245.6626799,rice
20.61521424,83.77345559,279.5451717,rice
21.84106875,80.72886384,202.3838319,rice
20.08369642,83.29114712,263.6372176,rice
24.45802087,82.74835604,182.5616319,rice
21.14347496,80.33502926,198.6730942,rice
25.78720567,82.11124033,243.5120414,rice
23.64124821,80.28597873,263.1103304,rice
23.43191632,80.56887849,269.5039162,rice
24.97669518,83.891805,204.8001847,rice
22.72791041,82.1706881,260.8875056,rice
24.87300744,82.84022551,295.6094492,rice
21.32376327,83.00320459,192.3197536,rice
26.29465461,84.56919326,257.4914906,rice
22.2286982,81.85872947,278.0791793,rice
26.73072391,81.78596776,280.4044392,rice
24.88921174,81.97927117,185.9461429,rice
26.88444878,81.46033732,194.5766559,rice
22.67846116,83.72874389,200.9133156,rice
26.08867875,80.37979919,182.9043504,rice
25.42977518,82.94682591,195.3574542,rice
26.40323239,81.05635517,223.3671883,rice
26.04371967,84.96907151,186.7536773,rice
25.2827223,80.54372813,220.1156708,rice
22.08576562,83.47038318,231.7364957,rice
23.28617173,81.43321641,242.3170629,rice
25.48591986,81.40633547,182.6549356,rice
23.67575393,81.03569343,233.7034975,rice
20.82477109,84.1341879,230.2242223,rice
26.92995077,81.91411159,290.6793783,rice
23.83509503,83.88387074,241.2013513,rice
26.52872817,80.12267476,218.9163567,rice
26.46428311,83.85642678,248.2256491,rice
22.69657794,82.81088865,256.9964761,rice
22.68319059,83.46358271,194.2651719,rice
21.53346343,82.14004101,295.9248796,rice
21.40865769,83.3293191,287.5766935,rice
26.54348085,84.67353597,183.6222657,rice
23.35905428,83.59512273,188.413665,rice
22.61359953,63.69070564,87.75953857,maize
26.10018422,71.57476937,102.2662445,maize
23.55882094,71.59351368,66.71995467,maize
19.97215954,57.68272924,60.65171481,maize
18.47891261,62.69503871,65.43835393,maize
21.77689322,57.80840636,102.0861694,maize
25.6217169,66.50415474,105.4654703,maize
25.19192419,66.6902901,78.06639649,maize
20.41683147,62.5542482,65.27798457,maize
24.92162194,66.78627406,109.2162279,maize
23.31689124,73.4541537,94.29712821,maize
24.84016732,68.3584573,74.05474936,maize
22.27526694,58.84015925,63.87020584,maize
18.87751445,65.76816093,94.76189431,maize
25.19008683,60.2001687,72.12375573,maize
18.25405352,55.28220433,63.72358154,maize
24.6129118,70.4162444,104.1626147,maize
25.1420613,65.26185135,76.68456006,maize
23.09348056,60.1159381,65.49730729,maize
18.05033737,62.89366992,84.23613484,maize
24.9321581,73.80435276,79.74078719,maize
18.14710054,71.09445342,88.07753741,maize
18.28362235,66.65952796,80.97573281,maize
18.83344471,58.75082029,79.7532896,maize
25.71895816,67.22190688,74.51490791,maize
25.33797709,68.49835977,96.46380213,maize
23.89114571,57.48775781,102.8301942,maize
21.53574127,71.50905983,102.4852929,maize
23.08974909,63.10459626,70.43473609,maize
25.61707368,63.4711755,108.8303762,maize
21.44526922,63.1621551,65.88951188,maize
18.51816776,55.53128131,90.988051,maize
22.53510514,67.99257471,64.40866039,maize
23.02038334,61.89472002,63.03843397,maize
24.89364635,65.61418761,87.9298085,maize
25.77175115,74.089114,107.4931917,maize
19.39851734,62.35750641,60.95197486,maize
21.54156232,59.64024162,109.7515385,maize
23.79746068,74.82913698,91.76337172,maize
18.9802729,74.52600826,94.26249353,maize
24.10859207,73.13112261,71.07562236,maize
24.7947077,70.04556743,76.72860067,maize
21.63162756,60.27766379,69.21803098,maize
25.37548751,57.21025565,101.7004306,maize
22.21738222,72.85462807,106.6213157,maize
20.58314011,69.00128641,66.29390357,maize
24.87502824,68.74248334,91.26056654,maize
20.03728219,56.35606753,109.024141,maize
25.95263264,61.89082199,99.57981207,maize
19.28889933,65.47050802,71.3195307,maize
20.57981887,65.34583901,78.34604471,maize
24.71417533,56.73426469,88.45361858,maize
20.27317074,63.91281869,62.50351892,maize
18.41932981,64.23580251,76.41312437,maize
23.39128187,61.74427165,107.3198135,maize
19.84939404,61.24500053,100.7689246,maize
21.869274,61.91044947,107.2681929,maize
22.8056033,56.50768935,101.5952794,maize
19.0781471,69.02298571,80.72515943,maize
22.02720976,65.35549924,83.73280082,maize
23.80546189,59.24537979,89.9622014,maize
18.52510753,69.0276233,88.10234397,maize
23.50297882,61.32026065,64.77791424,maize
26.54986394,72.89187265,73.33636055,maize
19.29563411,69.63481219,83.21030571,maize
20.68899915,59.4375337,103.651438,maize
19.32666088,68.034493,84.22969177,maize
24.60532218,73.58868502,96.59195302,maize
22.27373646,59.52193158,67.96704792,maize
25.70196694,61.33450447,83.20711308,maize
19.20129357,68.30578978,87.85092352,maize
21.70181447,60.47470519,95.71388473,maize
20.51716779,59.21235483,67.61013737,maize
23.30355338,73.62548442,97.59081274,maize
24.2547451,55.64709899,64.23845455,maize
24.86374934,65.7420046,75.82270467,maize
22.6265115,65.77472881,88.17251033,maize
18.04185513,60.61494304,104.2321615,maize
23.26237612,72.33125523,67.10225139,maize
22.88330922,71.59722446,67.72777298,maize
25.97482359,69.36385721,103.2234212,maize
26.14384005,66.20569924,107.2361366,maize
18.66116213,61.55327249,75.03247667,maize
25.10787449,55.97732754,78.16077693,maize
23.33844615,59.24580604,105.0083144,maize
25.08239719,65.92195844,62.49190812,maize
25.36768364,72.52054555,107.9124111,maize
25.34217103,63.31801994,74.52082026,maize
25.00933355,67.816568,62.91359494,maize
18.66746724,71.516474,69.93293255,maize
20.37999665,63.73849998,108.5054416,maize
18.09300227,72.61024172,78.96159541,maize
26.16985907,71.96246617,79.84925393,maize
18.65396672,61.37879671,93.62039175,maize
26.07470121,59.37147589,85.75692395,maize
18.92851916,72.80086137,82.34162918,maize
23.30546753,63.24648023,108.7603001,maize
18.74826712,62.49878458,70.23401597,maize
19.74213321,59.66263104,65.50861389,maize
25.73044432,70.74739256,98.73771338,maize
17.02498456,16.98861173,88.55123143,Soyabeans
19.02061277,17.13159126,79.92698081,Soyabeans
17.88776475,15.40589717,68.54932919,Soyabeans
18.86805647,15.65809214,88.51048983,Soyabeans
18.36952567,19.56381041,79.26357665,Soyabeans
20.45078582,15.40312102,92.68373702,Soyabeans
20.6543203,16.60820843,74.6631118,Soyabeans
17.3348681,18.74926979,82.61734721,Soyabeans
18.17912258,18.90426935,81.84997529,Soyabeans
18.01272266,18.30968112,81.98568791,Soyabeans
20.99373558,19.33470387,93.55280105,Soyabeans
19.46233971,15.22538951,74.58565097,Soyabeans
19.81344531,14.69765308,78.96514709,Soyabeans
18.97424756,19.5161216,80.7108745,Soyabeans
18.19737048,14.71070537,70.18185181,Soyabeans
18.72963144,19.18197264,71.58010169,Soyabeans
20.99502153,19.8601304,73.50734019,Soyabeans
20.28155898,16.39535215,82.52339655,Soyabeans
17.48042641,15.7559405,66.96980581,Soyabeans
20.88818675,14.32313811,90.46228334,Soyabeans
17.08498521,16.14565756,71.31007253,Soyabeans
20.09340593,15.11279612,85.74904898,Soyabeans
17.57212145,14.99927489,89.31050665,Soyabeans
19.12065218,18.43475844,85.52950164,Soyabeans
18.57665902,19.22008229,72.94940441,Soyabeans
17.16606398,14.42457525,72.32667516,Soyabeans
18.2872007,16.67921616,74.87445574,Soyabeans
19.03025305,18.66725565,94.70992037,Soyabeans
17.1418614,17.0662427,83.74606679,Soyabeans
17.47809436,17.93253975,78.92060234,Soyabeans
